 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,0.846,255.000,0.000,255,255,4.701,255
2,0.542,255.000,0.000,255,255,3.863,255
3,1.692,255.000,0.000,255,255,7.537,255
4,0.149,255.000,0.000,255,255,1.504,255
5,0.112,255.000,0.000,255,255,1.594,255
6,0.104,255.000,0.000,255,255,1.312,255
7,0.657,255.000,0.000,255,255,3.923,255
8,0.186,255.000,0.000,255,255,2.042,255
9,0.762,255.000,0.000,255,255,3.890,255
10,0.162,255.000,0.000,255,255,2.217,255
11,1.006,255.000,0.000,255,255,4.218,255
12,0.443,255.000,0.000,255,255,4.565,255
13,1.360,253.878,16.882,0,255,4.858,255
14,0.153,255.000,0.000,255,255,1.594,255
15,0.885,255.000,0.000,255,255,4.338,255
16,2.424,244.120,51.545,0,255,8.201,255
17,1.829,242.965,54.088,0,255,5.677,255
18,0.828,255.000,0.000,255,255,5.158,255
19,1.763,233.606,70.712,0,255,6.107,255
20,1.197,255.000,0.000,255,255,5.704,255
21,0.862,255.000,0.000,255,255,5.990,255
22,1.354,255.000,0.000,255,255,5.762,255
23,1.300,255.000,0.000,255,255,7.019,255
24,0.127,255.000,0.000,255,255,1.539,255
25,0.139,255.000,0.000,255,255,1.470,255
26,0.467,255.000,0.000,255,255,3.358,255
27,0.150,255.000,0.000,255,255,1.594,255
28,1.528,255.000,0.000,255,255,5.980,255
29,0.154,255.000,0.000,255,255,1.656,255
30,1.770,245.150,49.152,0,255,5.437,255
31,0.818,255.000,0.000,255,255,3.822,255
32,1.166,254.813,6.905,0,255,5.202,255
33,1.463,253.064,22.143,0,255,4.682,255
34,1.352,255.000,0.000,255,255,4.944,255
35,0.751,255.000,0.000,255,255,4.074,255
36,1.480,255.000,0.000,255,255,6.816,255
37,0.775,255.000,0.000,255,255,4.028,255
38,0.426,255.000,0.000,255,255,2.879,255
39,0.287,255.000,0.000,255,255,2.892,255
40,0.143,255.000,0.000,255,255,1.877,255
41,0.254,255.000,0.000,255,255,2.018,255
42,0.157,255.000,0.000,255,255,1.587,255
43,0.104,255.000,0.000,255,255,1.229,255
44,0.722,255.000,0.000,255,255,4.316,255
45,0.299,255.000,0.000,255,255,2.500,255
46,0.116,255.000,0.000,255,255,1.377,255
47,1.468,252.921,22.939,0,255,4.907,255
48,0.229,255.000,0.000,255,255,2.052,255
49,1.417,255.000,0.000,255,255,6.324,255
50,0.821,255.000,0.000,255,255,3.571,255
51,1.051,255.000,0.000,255,255,4.468,255
52,0.905,255.000,0.000,255,255,4.787,255
53,0.733,255.000,0.000,255,255,3.643,255
54,0.334,255.000,0.000,255,255,3.412,255
55,0.242,255.000,0.000,255,255,2.011,255
56,1.840,255.000,0.000,255,255,6.758,255
57,0.894,255.000,0.000,255,255,4.077,255
58,0.180,255.000,0.000,255,255,1.911,255
59,0.547,255.000,0.000,255,255,3.002,255
60,0.122,255.000,0.000,255,255,1.405,255
61,0.285,255.000,0.000,255,255,2.169,255
62,0.886,255.000,0.000,255,255,4.024,255
63,0.166,255.000,0.000,255,255,1.519,255
64,0.418,255.000,0.000,255,255,2.826,255
65,0.274,255.000,0.000,255,255,2.651,255
66,1.769,249.457,37.196,0,255,5.371,255
67,0.688,255.000,0.000,255,255,3.794,255
68,0.781,255.000,0.000,255,255,3.683,255
69,0.150,255.000,0.000,255,255,1.453,255
70,1.875,254.070,15.373,0,255,5.628,255
71,0.220,255.000,0.000,255,255,1.811,255
72,0.425,255.000,0.000,255,255,3.492,255
73,0.712,255.000,0.000,255,255,3.752,255
74,1.194,255.000,0.000,255,255,4.920,255
75,0.540,255.000,0.000,255,255,3.484,255
76,1.531,255.000,0.000,255,255,6.558,255
77,0.741,255.000,0.000,255,255,4.021,255
78,0.232,255.000,0.000,255,255,2.107,255
79,0.227,255.000,0.000,255,255,1.969,255
80,2.157,255.000,0.000,255,255,8.698,255
81,1.685,255.000,0.000,255,255,6.733,255
82,0.461,255.000,0.000,255,255,2.665,255
83,2.117,251.088,31.347,0,255,6.338,255
84,0.292,255.000,0.000,255,255,2.207,255
85,0.434,255.000,0.000,255,255,2.758,255
86,0.869,255.000,0.000,255,255,4.920,255
87,1.404,255.000,0.000,255,255,4.833,255
88,0.191,255.000,0.000,255,255,1.701,255
89,0.103,255.000,0.000,255,255,1.480,255
90,0.415,255.000,0.000,255,255,2.761,255
91,1.579,254.448,11.857,0,255,6.602,255
92,0.539,255.000,0.000,255,255,3.656,255
93,0.137,255.000,0.000,255,255,1.346,255
94,0.929,255.000,0.000,255,255,6.277,255
95,0.421,255.000,0.000,255,255,2.809,255
96,0.255,255.000,0.000,255,255,2.083,255
97,1.356,255.000,0.000,255,255,4.881,255
98,0.923,255.000,0.000,255,255,4.733,255
99,1.143,252.330,25.967,0,255,4.566,255
100,0.251,255.000,0.000,255,255,1.877,255
101,0.212,255.000,0.000,255,255,2.317,255
102,0.908,255.000,0.000,255,255,3.753,255
103,0.185,255.000,0.000,255,255,1.801,255
