 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,10.349,166.033,121.546,0,255,14.712,255
2,11.289,189.174,111.598,0,255,15.991,255
3,7.791,184.520,114.049,0,255,12.117,255
4,8.072,197.184,106.781,0,255,13.808,255
5,10.557,147.951,125.857,0,255,14.191,255
6,9.239,163.050,122.452,0,255,13.180,255
7,10.743,151.497,125.229,0,255,14.149,255
8,6.470,244.952,49.616,0,255,26.508,255
9,4.869,228.579,77.723,0,255,9.035,255
10,9.328,204.125,101.914,0,255,16.072,255
11,7.915,217.824,89.995,0,255,22.606,255
12,15.441,158.832,123.596,0,255,17.524,255
13,10.751,163.444,122.336,0,255,13.487,255
14,10.624,173.263,119.012,0,255,16.195,255
15,10.330,165.738,121.639,0,255,13.737,255
16,9.434,203.427,102.435,0,255,15.686,255
17,5.859,248.168,41.181,0,255,14.151,255
18,12.039,145.873,126.176,0,255,19.773,255
19,10.767,168.920,120.592,0,255,15.673,255
20,13.236,142.971,126.564,0,255,16.941,255
21,10.094,157.278,123.982,0,255,12.956,255
22,8.542,165.954,121.572,0,255,12.781,255
23,10.463,149.671,125.566,0,255,13.083,255
24,8.343,160.267,123.228,0,255,13.581,255
25,9.062,180.848,115.811,0,255,13.985,255
26,4.472,212.156,95.354,0,255,10.308,255
27,10.902,154.506,124.615,0,255,14.350,255
28,7.188,221.013,86.678,0,255,24.449,255
29,7.080,253.212,21.279,0,255,32.789,255
30,10.606,124.935,127.482,0,255,13.456,0
31,9.551,160.817,123.079,0,255,12.332,255
32,13.766,166.222,121.484,0,255,16.974,255
33,12.600,162.678,122.558,0,255,15.864,255
34,13.110,176.185,117.845,0,255,19.974,255
35,8.979,170.216,120.141,0,255,12.988,255
36,13.483,152.229,125.085,0,255,16.951,255
37,7.628,236.206,66.634,0,255,25.842,255
38,12.171,167.685,121.008,0,255,17.283,255
39,11.725,189.930,111.176,0,255,16.063,255
40,7.423,199.409,105.297,0,255,14.869,255
41,4.820,186.423,113.084,0,255,9.385,255
42,12.924,150.347,125.443,0,255,15.102,255
43,15.586,226.747,80.043,0,255,62.287,255
44,7.822,245.377,48.596,0,255,15.171,255
45,2.526,249.854,35.867,0,255,6.464,255
46,7.274,217.933,89.887,0,255,11.026,255
47,9.710,161.943,122.768,0,255,12.561,255
48,10.031,177.026,117.496,0,255,15.080,255
49,6.328,207.525,99.269,0,255,12.990,255
50,8.944,190.963,110.592,0,255,15.641,255
51,10.739,202.433,103.163,0,255,21.376,255
52,5.496,194.923,108.228,0,255,11.914,255
53,7.133,252.554,24.859,0,255,34.453,255
54,9.812,181.216,115.640,0,255,15.050,255
55,12.214,156.283,124.215,0,255,17.094,255
56,7.593,219.357,88.431,0,255,17.728,255
57,11.130,172.029,119.479,0,255,16.540,255
58,9.364,167.381,121.111,0,255,14.260,255
59,13.286,188.070,112.200,0,255,19.371,255
60,9.165,189.337,111.509,0,255,13.781,255
61,8.622,188.214,112.125,0,255,12.468,255
62,13.986,204.020,101.990,0,255,25.576,255
63,13.949,127.034,127.505,0,255,15.582,0
64,1.736,255.000,0.000,255,255,5.508,255
65,8.521,228.018,78.443,0,255,14.117,255
66,13.812,155.319,124.434,0,255,16.944,255
67,10.747,163.410,122.346,0,255,14.678,255
68,9.954,194.713,108.352,0,255,12.904,255
69,10.200,192.139,109.907,0,255,20.227,255
70,8.359,179.605,116.376,0,255,14.307,255
71,9.186,198.309,106.038,0,255,13.410,255
72,11.043,188.570,111.930,0,255,16.660,255
73,10.341,191.970,110.007,0,255,15.571,255
74,7.912,209.250,97.851,0,255,16.434,255
75,13.961,144.692,126.342,0,255,17.781,255
76,8.787,217.153,90.663,0,255,16.147,255
77,8.174,204.645,101.522,0,255,13.842,255
78,9.902,167.616,121.033,0,255,13.667,255
79,10.413,176.078,117.891,0,255,16.377,255
80,7.567,218.197,89.620,0,255,17.108,255
81,8.115,198.586,105.853,0,255,14.122,255
82,4.791,246.431,45.959,0,255,10.314,255
83,9.102,155.090,124.488,0,255,13.036,255
84,8.688,202.267,103.285,0,255,16.508,255
85,9.246,133.513,127.367,0,255,13.400,255
86,7.109,224.485,82.774,0,255,14.628,255
87,12.828,138.208,127.056,0,255,15.270,255
88,8.220,244.427,50.840,0,255,16.315,255
89,11.513,166.028,121.547,0,255,14.889,255
90,9.436,229.330,76.732,0,255,29.533,255
91,12.965,137.911,127.081,0,255,14.703,255
92,12.612,149.202,125.646,0,255,17.015,255
93,7.824,222.026,85.570,0,255,17.417,255
94,12.332,170.990,119.860,0,255,18.306,255
95,10.580,170.334,120.097,0,255,13.968,255
96,11.802,140.314,126.862,0,255,13.942,255
97,6.694,254.284,13.491,0,255,26.878,255
98,11.178,161.154,122.986,0,255,17.013,255
99,12.411,155.591,124.374,0,255,17.053,255
100,9.208,188.008,112.236,0,255,15.010,255
101,14.523,161.189,122.974,0,255,17.515,255
