 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,23.009,251.130,31.179,0,255,35.308,255
2,20.973,254.006,15.890,0,255,36.801,255
3,35.825,178.056,117.061,0,255,28.107,255
4,37.296,219.493,88.290,0,255,47.676,255
5,42.214,189.702,111.308,0,255,43.603,255
6,35.609,160.991,123.036,0,255,30.726,255
7,28.039,234.324,69.614,0,255,68.729,255
8,39.131,174.535,118.519,0,255,34.972,255
9,33.083,206.382,100.180,0,255,39.823,255
10,47.912,184.419,114.098,0,255,35.826,255
11,36.449,187.430,112.549,0,255,37.528,255
12,37.073,205.635,100.763,0,255,25.434,255
13,30.847,241.673,56.759,0,255,34.552,255
14,27.637,216.202,91.600,0,255,43.271,255
15,41.174,243.957,51.908,0,255,97.987,255
16,60.862,143.655,126.480,0,255,35.473,255
17,53.893,206.559,100.036,0,255,50.416,255
18,41.969,206.564,100.035,0,255,40.399,255
19,56.976,210.544,96.753,0,255,55.239,255
20,60.899,175.828,117.993,0,255,72.323,255
21,24.190,233.619,70.686,0,255,40.349,255
22,34.532,215.335,92.429,0,255,29.019,255
23,46.612,211.348,96.058,0,255,37.754,255
24,4.227,237.522,64.488,0,255,11.620,255
25,46.820,211.178,96.206,0,255,44.733,255
26,6.961,255.000,0.000,255,255,14.067,255
27,22.831,223.550,83.862,0,255,33.481,255
28,63.380,154.955,124.516,0,255,42.410,255
29,31.976,217.911,89.911,0,255,29.176,255
30,27.288,247.155,44.040,0,255,52.413,255
31,22.140,234.463,69.403,0,255,28.170,255
32,58.306,216.139,91.654,0,255,94.330,255
33,27.325,249.384,37.428,0,255,65.938,255
34,30.074,209.770,97.418,0,255,42.329,255
35,44.918,222.144,85.439,0,255,56.172,255
36,39.346,199.147,105.476,0,255,38.491,255
