 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,0.072,255.000,0.000,255,255,1.058,255
2,0.014,255.000,0.000,255,255,0.360,255
3,0.438,255.000,0.000,255,255,3.294,255
4,1.652,252.783,23.727,0,255,5.340,255
5,0.416,255.000,0.000,255,255,4.133,255
6,0.086,255.000,0.000,255,255,1.008,255
7,0.036,255.000,0.000,255,255,0.649,255
8,1.544,255.000,0.000,255,255,5.079,255
9,0.050,255.000,0.000,255,255,0.719,255
10,0.524,255.000,0.000,255,255,3.104,255
11,0.768,255.000,0.000,255,255,3.753,255
12,0.043,255.000,0.000,255,255,0.649,255
13,0.237,255.000,0.000,255,255,2.095,255
14,0.409,255.000,0.000,255,255,2.575,255
15,0.036,255.000,0.000,255,255,0.599,255
16,0.043,255.000,0.000,255,255,0.719,255
17,0.014,255.000,0.000,255,255,0.360,255
18,0.029,255.000,0.000,255,255,0.649,255
19,0.043,255.000,0.000,255,255,1.058,255
20,0.057,255.000,0.000,255,255,0.769,255
21,0.043,255.000,0.000,255,255,0.649,255
22,1.479,255.000,0.000,255,255,6.427,255
23,0.273,255.000,0.000,255,255,1.996,255
24,0.316,255.000,0.000,255,255,2.116,255
25,2.915,255.000,0.000,255,255,10.457,255
26,0.029,255.000,0.000,255,255,0.479,255
27,0.043,255.000,0.000,255,255,0.719,255
28,0.266,255.000,0.000,255,255,1.806,255
29,2.140,255.000,0.000,255,255,6.067,255
30,0.984,255.000,0.000,255,255,4.860,255
31,1.515,255.000,0.000,255,255,5.588,255
32,1.221,255.000,0.000,255,255,4.740,255
33,0.014,255.000,0.000,255,255,0.409,255
34,0.065,255.000,0.000,255,255,0.889,255
35,0.811,255.000,0.000,255,255,4.211,255
36,0.330,255.000,0.000,255,255,2.215,255
37,0.969,255.000,0.000,255,255,4.550,255
38,1.185,255.000,0.000,255,255,5.030,255
39,1.494,255.000,0.000,255,255,5.001,255
40,0.776,255.000,0.000,255,255,3.393,255
41,0.165,255.000,0.000,255,255,1.587,255
42,0.682,255.000,0.000,255,255,3.273,255
43,2.571,255.000,0.000,255,255,8.861,255
44,0.022,255.000,0.000,255,255,0.479,255
45,1.192,255.000,0.000,255,255,4.521,255
46,0.050,255.000,0.000,255,255,0.769,255
47,1.494,255.000,0.000,255,255,6.815,255
48,1.063,255.000,0.000,255,255,4.910,255
49,0.416,255.000,0.000,255,255,2.595,255
50,0.718,255.000,0.000,255,255,4.141,255
51,0.043,255.000,0.000,255,255,0.719,255
52,0.438,255.000,0.000,255,255,2.525,255
53,0.302,255.000,0.000,255,255,1.996,255
54,1.235,255.000,0.000,255,255,4.401,255
55,0.029,255.000,0.000,255,255,0.649,255
56,0.014,255.000,0.000,255,255,0.409,255
57,1.156,255.000,0.000,255,255,7.055,255
58,0.036,255.000,0.000,255,255,0.649,255
59,1.860,255.000,0.000,255,255,7.105,255
60,0.029,255.000,0.000,255,255,0.479,255
61,0.890,255.000,0.000,255,255,3.703,255
62,0.079,255.000,0.000,255,255,0.938,255
63,1.386,255.000,0.000,255,255,5.001,255
64,2.054,255.000,0.000,255,255,5.918,255
65,0.057,255.000,0.000,255,255,0.889,255
66,0.574,255.000,0.000,255,255,3.034,255
67,0.467,255.000,0.000,255,255,2.575,255
68,1.127,255.000,0.000,255,255,4.013,255
69,0.022,255.000,0.000,255,255,0.479,255
70,0.488,255.000,0.000,255,255,2.794,255
71,0.237,255.000,0.000,255,255,2.116,255
72,1.400,255.000,0.000,255,255,5.170,255
73,1.565,255.000,0.000,255,255,6.505,255
74,0.503,255.000,0.000,255,255,2.934,255
75,0.144,255.000,0.000,255,255,1.298,255
76,0.014,255.000,0.000,255,255,0.409,255
77,0.811,255.000,0.000,255,255,3.443,255
78,0.014,255.000,0.000,255,255,0.409,255
79,1.860,255.000,0.000,255,255,5.550,255
80,0.022,255.000,0.000,255,255,0.479,255
81,0.043,255.000,0.000,255,255,0.769,255
82,0.819,255.000,0.000,255,255,3.414,255
83,0.122,255.000,0.000,255,255,1.248,255
84,1.709,255.000,0.000,255,255,6.687,255
85,0.381,255.000,0.000,255,255,2.984,255
86,0.101,255.000,0.000,255,255,1.128,255
87,0.022,255.000,0.000,255,255,0.479,255
88,0.732,255.000,0.000,255,255,3.443,255
