 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,5.657,253.308,20.708,0,255,13.882,255
2,3.260,251.698,28.850,0,255,14.447,255
3,2.772,255.000,0.000,255,255,8.695,255
4,2.435,247.139,44.120,0,255,6.447,255
5,1.604,255.000,0.000,255,255,7.533,255
6,3.021,252.228,26.461,0,255,7.776,255
7,4.320,250.570,33.335,0,255,11.364,255
8,4.916,224.828,82.401,0,255,12.309,255
9,5.019,238.794,62.237,0,255,14.350,255
10,3.288,253.545,19.221,0,255,9.276,255
11,1.618,255.000,0.000,255,255,6.954,255
12,2.603,255.000,0.000,255,255,6.500,255
13,2.796,255.000,0.000,255,255,8.835,255
14,2.683,222.456,85.160,0,255,7.452,255
15,1.998,255.000,0.000,255,255,9.640,255
16,3.692,255.000,0.000,255,255,11.862,255
17,4.292,239.951,60.125,0,255,8.912,255
18,2.655,252.747,23.882,0,255,13.061,255
19,3.795,255.000,0.000,255,255,10.903,255
20,3.495,254.658,9.342,0,255,11.050,255
21,2.444,248.637,39.813,0,255,8.317,255
22,5.995,254.401,12.345,0,255,20.163,255
23,5.258,227.930,78.584,0,255,16.284,255
24,3.954,219.609,88.213,0,255,10.242,255
25,4.287,245.235,48.962,0,255,10.152,255
26,11.736,179.580,116.401,0,255,16.913,255
27,3.926,241.595,56.943,0,255,8.728,255
28,4.086,243.289,53.407,0,255,11.475,255
29,3.771,216.306,91.543,0,255,8.140,255
30,1.698,246.547,45.715,0,255,8.511,255
31,3.513,226.402,80.519,0,255,16.361,255
32,2.116,249.346,37.589,0,255,14.183,255
33,5.291,230.811,74.753,0,255,13.522,255
34,2.852,251.225,30.820,0,255,15.335,255
35,4.686,218.498,89.351,0,255,9.210,255
36,1.257,255.000,0.000,255,255,4.413,255
37,1.951,255.000,0.000,255,255,6.921,255
38,3.907,217.959,89.906,0,255,8.124,255
39,3.255,254.633,9.680,0,255,8.969,255
40,4.649,239.304,61.319,0,255,11.551,255
41,3.054,251.083,31.385,0,255,8.040,255
42,5.211,252.705,24.094,0,255,18.224,255
43,3.429,241.395,57.346,0,255,9.994,255
44,7.430,211.051,96.340,0,255,11.848,255
45,4.428,231.499,73.799,0,255,11.534,255
46,2.223,250.696,32.882,0,255,8.742,255
47,2.181,255.000,0.000,255,255,8.761,255
48,2.829,254.154,14.674,0,255,7.282,255
49,1.867,255.000,0.000,255,255,6.137,255
50,3.743,253.722,18.020,0,255,9.373,255
51,4.799,220.601,87.154,0,255,9.614,255
52,2.481,248.251,40.970,0,255,12.172,255
53,2.880,255.000,0.000,255,255,9.109,255
54,2.059,253.257,21.032,0,255,6.170,255
55,1.173,208.080,99.007,0,255,4.977,255
56,2.716,252.358,25.846,0,255,9.640,255
57,3.345,255.000,0.000,255,255,8.581,255
58,2.833,231.780,73.423,0,255,9.590,255
59,11.563,164.069,122.168,0,255,15.970,255
60,1.792,255.000,0.000,255,255,7.800,255
61,4.086,255.000,0.000,255,255,15.049,255
62,6.680,255.000,0.000,255,255,15.883,255
63,2.875,255.000,0.000,255,255,7.760,255
64,3.936,243.754,52.387,0,255,9.276,255
65,2.852,255.000,0.000,255,255,7.816,255
66,3.401,252.890,23.118,0,255,9.170,255
67,6.792,249.365,37.500,0,255,17.830,255
68,4.184,246.138,46.731,0,255,19.324,255
69,3.199,253.878,16.888,0,255,9.123,255
70,3.420,254.300,13.347,0,255,7.807,255
71,5.770,248.988,38.706,0,255,14.026,255
72,2.716,255.000,0.000,255,255,7.415,255
73,5.085,250.530,33.478,0,255,12.429,255
74,3.954,250.160,34.816,0,255,15.559,255
75,3.560,255.000,0.000,255,255,9.009,255
76,4.240,252.179,26.686,0,255,11.080,255
77,4.677,254.233,13.974,0,255,10.913,255
78,2.430,255.000,0.000,255,255,8.919,255
79,6.103,251.864,28.115,0,255,14.260,255
80,8.650,253.341,20.509,0,255,30.648,255
81,5.845,248.656,39.734,0,255,14.123,255
82,2.922,244.358,51.036,0,255,8.348,255
83,3.781,250.571,33.335,0,255,7.743,255
84,6.445,248.133,41.293,0,255,12.373,255
85,3.467,239.472,61.021,0,255,8.629,255
86,1.313,255.000,0.000,255,255,12.420,255
87,5.821,238.562,62.648,0,255,13.856,255
